A	38.517	86.429
B	72.339	86.436
C	22.103	106.593
D	56.016	100.776
E	57.939	100.754
F	57.925	99.893
G	68.002	99.823
H	68.137	108.377
I	56.134	108.271
J	35.527	108.758
K	35.395	100.402
L	27.012	100.335
M	27.195	108.692
N	70.228	50.491
O	23.234	51.229
P	55.454	65.009
Q	70.452	64.773
R	70.766	84.771
S	55.768	85.006
T	55.564	72.008
U	44.202	49.044
V	44.770	85.179
W	23.537	70.511
X	35.535	70.322
Y	35.203	49.185
Z	35.771	85.321
A1	23.772	85.509
A2	24.103	106.561
A3	23.961	97.508
A4	71.150	109.190
A5	70.955	96.769
A6	72.939	95.738
A7	71.923	94.754
A8	22.929	95.523
A9	21.945	96.539
A10	72.782	85.739
A11	71.798	86.755
A12	22.804	87.524
A13	21.788	86.540
A14	21.218	50.261
A15	22.202	49.245
A16	71.196	48.476
A17	72.212	49.460
