A	-8.771	18.293
B	25.046	18.832
C	-25.5	38.197
D	8.5	32.914
E	10.423	32.922
F	10.423	32.061
G	20.5	32.149
H	20.5	40.704
I	8.5	40.409
J	-12.112	40.573
K	-12.113	32.216
L	-20.493	32.017
M	-20.442	40.376
N	23.5	-17.142
O	-23.5	-17.142
P	8.5	-2.858
Q	23.5	-2.858
R	23.5	17.142
S	8.5	17.142
T	8.5	4.142
U	-2.5	4.142
V	-2.5	17.142
W	-23.5	2.142
X	-11.5	2.142
Y	-11.5	4.142
Z	-11.5	17.142
A1	-23.5	17.142
A2	-23.5	38.197
A3	-23.5	29.142
A4	23.5	41.564
A5	23.5	29.142
A6	25.5	28.142
A7	24.5	27.142
A8	-24.5	27.142
A9	-25.5	28.142
A10	25.5	18.142
A11	24.5	19.142
A12	-24.5	19.142
A13	-25.5	18.142
A14	-25.5	-18.142
A15	-24.5	-19.142
A16	24.5	-19.142
A17	25.5	-18.142
